title,year,genre,rating,numvotes,plot
Indiana Jones and the Last Crusade,1989,"Action,Adventure",8.2,655978,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against"
Room,2015,"Drama,Thriller",8.1,335981,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time."
Oldboy,2003,"Action,Drama,Mystery",8.4,479051,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
Fight Club,1999,Drama,8.8,1745822,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more."
Cinema Paradiso,1988,Drama,8.5,211476,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
The Green Mile,1999,"Crime,Drama,Fantasy",8.6,1065565,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
Rocky,1976,"Drama,Sport",8.1,489960,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.
"Monsters, Inc.",2001,"Animation,Adventure,Comedy",8.0,769474,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think."
Million Dollar Baby,2004,"Drama,Sport",8.1,603881,A determined woman works with a hardened boxing trainer to become a professional.
Up,2009,"Animation,Adventure,Comedy",8.2,880291,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
Monty Python and the Holy Grail,1975,"Adventure,Comedy,Fantasy",8.2,477063,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
Good Will Hunting,1997,"Drama,Romance",8.3,801443,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
Star Wars: Episode V - The Empire Strikes Back,1980,"Action,Adventure,Fantasy",8.7,1097819,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy."
Inception,2010,"Action,Adventure,Sci-Fi",8.8,1917472,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
"Three Billboards Outside Ebbing, Missouri",2017,"Comedy,Crime,Drama",8.2,379461,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
Die Hard,1988,"Action,Thriller",8.2,747333,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
Scarface,1983,"Crime,Drama",8.3,692169,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
The General,1926,"Action,Adventure,Comedy",8.1,74777,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines."
